lga_code,lga_name,crime_sum_2011,crime_5yr_sum,crime_avgyr,populations,rate_5yr_avg,rank_5yr_avg,rate_2011,rank_2011
10800,Bland,430,2502,500,6018,8.3,69,7.1,49
16550,Randwick,9667,49002,9800,137757,7.1,47,7,48
14800,Leichhardt,3875,20420,4084,55651,7.3,53,7,47
11000,Bombala,171,933,187,2458,7.6,58,7,46
11550,Canterbury,9867,50995,10199,144751,7,46,6.8,45
18250,Willoughby,4818,24173,4835,71637,6.7,42,6.7,44
16470,Queanbeyan,2670,14563,2913,39826,7.3,51,6.7,43
13500,Gundagai,249,1545,309,3753,8.2,66,6.6,42
18350,Wingecarribee,3023,14904,2981,46042,6.5,38,6.6,41
16100,Oberon,341,1688,338,5207,6.5,39,6.5,40
17620,Upper Hunter Shire,917,4410,882,14206,6.2,35,6.5,39
10650,Berrigan,530,2763,553,8282,6.7,40,6.4,38
17550,Tweed,5546,29578,5916,88463,6.7,41,6.3,37
10600,Bellingen,796,4073,815,12886,6.3,37,6.2,36
12700,Dungog,503,2282,456,8547,5.3,27,5.9,35
18500,Woollahra,3304,19280,3856,56324,6.8,44,5.9,34
14250,Jerilderie,89,338,68,1534,4.4,8,5.8,33
13340,Greater Hume Shire,579,2579,516,10039,5.1,21,5.8,32
17850,Walcha,180,966,193,3122,6.2,34,5.8,31
14450,Kogarah,3394,16612,3322,58938,5.6,30,5.8,30
12000,Coolamon,236,1325,265,4213,6.3,36,5.6,29
10850,Blayney,400,1952,390,7186,5.4,29,5.6,28
11450,Camden,3217,16968,3394,58376,5.8,31,5.5,27
11050,Boorowa,132,520,104,2469,4.2,7,5.3,26
18400,Wollondilly,2368,11740,2348,44403,5.3,24,5.3,25
13700,Harden,195,1129,226,3680,6.1,32,5.3,24
14000,Hornsby,8599,40154,8031,163865,4.9,18,5.2,23
17650,Uralla,325,1600,320,6260,5.1,20,5.2,22
16370,Pittwater,3062,15322,3064,60260,5.1,19,5.1,21
18100,Weddin,186,907,181,3734,4.9,17,5,20
13660,Gwydir,245,1353,271,5074,5.3,26,4.8,19
17450,Tumbarumba,166,909,182,3440,5.3,23,4.8,18
13050,Gloucester,234,1351,270,4974,5.4,28,4.7,17
17640,Upper Lachlan Shire,345,1701,340,7378,4.6,11,4.7,16
14400,Kiama,957,5495,1099,20832,5.3,22,4.6,15
16700,Ryde,4965,24968,4994,108371,4.6,10,4.6,14
14950,Lockhart,141,820,164,3082,5.3,25,4.6,13
18710,Yass Valley,689,3768,754,15516,4.9,16,4.4,12
11400,Cabonne,572,3083,617,13188,4.7,13,4.3,11
