name,latitude,longitude,address,website
Brighton Le Sands Library,-33.958921,151.155129,"1 Moate Avenue, Brighton Le Sands NSW 2216",http://www.rockdale.nsw.gov.au/library/Pages/Library.aspx
Broken Hill City Library,-31.954749,141.468911,"Blende Street, Broken Hill 2880",www.bhlibrary.org.au
Brunswick Heads,-28.54022,153.548031,"Fingal Street, Brunswick Heads NSW 2483",http://www.rtrl.nsw.gov.au/site/index.php
Bulli Library,-34.325171,150.912445,"Princes Highway, Bulli NSW 2516",http://www.wollongong.nsw.gov.au/library.asp
Bundeena Library,-34.085064,151.151259,"Public School, Bundeena NSW  2230",http://www.suthlib.nsw.gov.au/ssc/suthlib.nsf/
Bungendore,-35.254433,149.44353,"37 Gibraltar Street, Bungendore NSW  2621",http://www.qcc.nsw.gov.au/page.aspx?page=75
Buronga/Golgol Library,-34.168651,142.182308,"Chapmen Street, Buronga/Golgol NSW  2739",http://www.wentworth.nsw.gov.au/library/
Burwood Library,-33.87727,151.105986,"4 Marmaduke Street, Burwood NSW 2134",www.library.burwood.nsw.gov.au
Byron Bay,-28.642654,153.617198,"Lawson Street, Byron bay NSW 2481",http://www.rtrl.nsw.gov.au/site/index.php
Cabramatta Library,-33.896554,150.938207,"The Whitlam Library, Railway Parade, Cabramatta NSW  2166",www.fairfieldcity.nsw.gov.au
Camden Library,-34.05362,150.695634,"40 John Street, Camden  NSW  2570",http://www.library.camden.nsw.gov.au/
Campbelltown Library,-34.067061,150.811101,"HJ Daley Central Library, Hurley Street, Campbelltown  NSW  2560",http://www.campbelltown.nsw.gov.au/default.asp?iSubCatID=121&iNavCatID=1
Campsie Library,-33.912918,151.102836,"14-28 Amy Street, Campsie  NSW 2194",http://www.canterbury.nsw.gov.au/www/html/903-library-events.asp
Canowindra Library,-33.562156,148.660421,"Gaskill Street, Canowindra NSW 2804",http://www.cwl.nsw.gov.au/
Cardiff Library,-32.940453,151.660828,"262 Main Road, Cardiff NSW 2285",http://www.lakemac.com.au/page.aspx?pid=144&vid=11
Caringbah Library,-34.045018,151.123274,"376-378 Port Hacking Road ,Caringbah NSW 2229",http://www.suthlib.nsw.gov.au/ssc/suthlib.nsf/
Carlingford Library,-33.782433,151.048586,"Cnr Lloyds Ave & Boundary Road, Carlingford NSW 2118",http://www.thehills.nsw.gov.au/Library.html
Casino Library,-28.86583,153.046261,"Graham Place, Casino NSW 2470",www.richmondvalley.nsw.gov.au/library/
Cassilis Library,-32.007883,149.980435,"Community Centre, Buccleough Street, Cassilis NSW 2329",http://www.uhrl.nsw.gov.au/
Casula Library,-33.947851,150.897938,"39 Ingham Drive, Casula NSW 2170",http://ebranch.liverpool.nsw.gov.au/
Cessnock City Library,-32.83382,151.356119,"65-67 Vincent Street, Cessnock  NSW 2325",http://www.cessnock.nsw.gov.au/Cessnock/index.asp?id=240
Charlestown Library,-32.962445,151.697402,"Cnr Smith & Ridley Streets, Charlestown NSW 2290",http://www.lakemac.com.au/page.aspx?pid=144&vid=11
Chester Hill Library,-33.885308,151.000305,"12 Chester Hill Road, Chester Hill NSW 2162",http://www.bankstown.nsw.gov.au/Library/default.aspx
Cobar Shire Library,-31.497554,145.837707,"39 Marshal Street, Cobar NSW 2835",www.cobar.nsw.gov.au/library
